spr,task,model
0.4924657212605863,293T,RF
0.5281069064582427,293T,RF
0.530928668110778,293T,RF
0.5489315401113655,293T,RF
0.5304438965685636,293T,RF
0.5253012636835631,293T,RF
0.5248564256078839,293T,RF
0.5138097617207024,293T,RF
0.5224129072284471,293T,RF
0.519344227291114,293T,RF
0.547566411902818,muscle,RF
0.6028934072347887,muscle,RF
0.5466940278158777,muscle,RF
0.5598195354385015,muscle,RF
0.6988736149307381,muscle,RF
0.5530874986059995,muscle,RF
0.4436371888563208,muscle,RF
0.5683980917196295,muscle,RF
0.5165763446687439,muscle,RF
0.6730851953879395,muscle,RF
0.5822413059055946,pc3,RF
0.5713791713338693,pc3,RF
0.5736660317091482,pc3,RF
0.5863706242688773,pc3,RF
0.5626639113217776,pc3,RF
0.5413885293348174,pc3,RF
0.5476142108387254,pc3,RF
0.5736922150042232,pc3,RF
0.5683095375450803,pc3,RF
0.5644011672625084,pc3,RF
0.5410685035809847,293T,single-task
0.547179817795649,293T,single-task
0.5714824663199373,293T,single-task
0.5551241140935607,293T,single-task
0.5590073531447471,293T,single-task
0.5649243488563829,293T,single-task
0.5740501627055246,293T,single-task
0.5778998413665144,293T,single-task
0.5619592661780918,293T,single-task
0.5582129686701568,293T,single-task
0.5910674042240102,muscle,single-task
0.5624750415862844,muscle,single-task
0.5545300178171422,muscle,single-task
0.5605096204965402,muscle,single-task
0.6321884581899986,muscle,single-task
0.566819108341178,muscle,single-task
0.5840877286226221,muscle,single-task
0.5896193819723788,muscle,single-task
0.6089749599833922,muscle,single-task
0.5807506797405655,muscle,single-task
0.6261146046755312,pc3,single-task
0.6455717780336084,pc3,single-task
0.6280021502604668,pc3,single-task
0.6191832672515893,pc3,single-task
0.5994788348291581,pc3,single-task
0.5443297151949065,pc3,single-task
0.6405177399485841,pc3,single-task
0.6409295086575133,pc3,single-task
0.6649200010595442,pc3,single-task
0.6339195429871567,pc3,single-task
0.6181618487967331,293T,MTtrans 3R
0.6281926471428543,293T,MTtrans 3R
0.6211114996674421,293T,MTtrans 3R
0.6278149210202123,293T,MTtrans 3R
0.6401617454864615,293T,MTtrans 3R
0.6283204392057914,293T,MTtrans 3R
0.6117446608931773,293T,MTtrans 3R
0.61909162295408,293T,MTtrans 3R
0.6094344731747571,293T,MTtrans 3R
0.6290746444138177,293T,MTtrans 3R
0.6151784666892058,muscle,MTtrans 3R
0.5690545387862814,muscle,MTtrans 3R
0.5858049464764895,muscle,MTtrans 3R
0.6838686865859025,muscle,MTtrans 3R
0.6463496238684784,muscle,MTtrans 3R
0.6265029186825661,muscle,MTtrans 3R
0.6158459715922285,muscle,MTtrans 3R
0.6430980158260312,muscle,MTtrans 3R
0.6192991528974697,muscle,MTtrans 3R
0.6583415807648614,muscle,MTtrans 3R
0.6644550439159188,pc3,MTtrans 3R
0.6863648892685916,pc3,MTtrans 3R
0.6849146260405066,pc3,MTtrans 3R
0.6736062304035205,pc3,MTtrans 3R
0.6612956665604424,pc3,MTtrans 3R
0.6581513207358309,pc3,MTtrans 3R
0.6785938086166906,pc3,MTtrans 3R
0.669225436352617,pc3,MTtrans 3R
0.6757207374836309,pc3,MTtrans 3R
0.6819013351528103,pc3,MTtrans 3R
0.6166425551464291,293T,3M init
0.6238758100828088,293T,3M init
0.5995122328960937,293T,3M init
0.6032598577883835,293T,3M init
0.630660435137378,293T,3M init
0.6078523449374543,293T,3M init
0.6302399915888987,293T,3M init
0.6224115725788946,293T,3M init
0.5992667128363016,293T,3M init
0.6281868379971527,293T,3M init
0.5688992282395384,muscle,3M init
0.6126174949078069,muscle,3M init
0.584674814412956,muscle,3M init
0.6396382255613542,muscle,3M init
0.6210207868305133,muscle,3M init
0.6482827445034699,muscle,3M init
0.6263443036561053,muscle,3M init
0.6062299356130403,muscle,3M init
0.6122341752605265,muscle,3M init
0.6215296767070752,muscle,3M init
0.6910044196236425,pc3,3M init
0.6802361501013962,pc3,3M init
0.6735689059217111,pc3,3M init
0.6641642265572404,pc3,3M init
0.6690967571689996,pc3,3M init
0.6916868589509246,pc3,3M init
0.6757544675904509,pc3,3M init
0.685490421994759,pc3,3M init
0.7040556287497975,pc3,3M init
0.6616879816900081,pc3,3M init
