MPA-U,MPA-H,MPA-V,RP-muscle,RP-pc3,RP-293T,model,configuration,weigth_M/R
0.9420208750519716,0.8339188236555583,0.871195184235946,,,,3M,schedule_lr.ini,0.0
0.9066375554336242,0.7974807031952653,0.844938283926526,,,0.3169143646380549,3MR,Andrev_3M_w0,0.1
0.8924563590116762,0.7787280073824107,0.8298026795752643,,0.4679712892323329,0.37982001863963366,3M2R,AP_3M_w0,0.1
0.8825982904729948,0.7531461222243494,0.8195011066571956,0.4040706364349239,0.47058667498404283,0.3962020188971791,3M3R,PoolingAll,0.1
0.9319009036917439,0.7841117749681809,0.8685065073463666,0.4011447110899322,0.47042628986035695,0.37319548916315615,3M3R,PoolingAll_weight2,1.0
0.9339777094638717,0.8103980147417457,0.8587181641581132,0.36337753845980514,0.3842371915607685,0.31056250000177577,3M3R,PoolingAll_weight3,5.0
,0.7981066380888554,0.807450651491559,0.5089432907118555,0.4991306900579733,0.378695850708307,2M3R,HV_3R_w1,0.1
,0.7792562004890095,0.7136714798955823,0.43758155254060815,0.4972286764785405,0.3911890127743658,MsM3R,sV_H_3R_w0,0.05
,0.726926676779093,,0.4287528896921853,0.44279856533974726,0.3776794282385221,M3R,Human_3R,0.1
,,,0.4876337136187925,0.47792088133781585,0.38009357906720664,sM3R,2Sub2cell_weightpc3,0.1
,,,0.43972311615859583,0.4564220489350763,0.363506308027195,3R,schedule_MTL,0.0
