,variable,performance,model,task,metric,which_set
0,RP_293T_spr,0.5782374539764638,3R,293T,spr,test
1,RP_293T_spr,0.5706320843077112,3R,293T,spr,test
2,RP_293T_spr,0.5604769634671836,3R,293T,spr,test
3,RP_muscle_spr,0.6340683018553124,3R,muscle,spr,test
4,RP_muscle_spr,0.5642030910845615,3R,muscle,spr,test
5,RP_muscle_spr,0.6117357353515489,3R,muscle,spr,test
6,RP_PC3_spr,0.5739600417070786,3R,PC3,spr,test
7,RP_PC3_spr,0.5231910796907763,3R,PC3,spr,test
8,RP_PC3_spr,0.5309015987319884,3R,PC3,spr,test
9,RP_293T_r2,0.3397220505313384,3R,293T,r2,test
10,RP_293T_r2,0.31846669510490944,3R,293T,r2,test
11,RP_293T_r2,0.3281719074989833,3R,293T,r2,test
12,RP_muscle_r2,0.41978709345407195,3R,muscle,r2,test
13,RP_muscle_r2,0.27042714136240065,3R,muscle,r2,test
14,RP_muscle_r2,0.40852351902352024,3R,muscle,r2,test
15,RP_PC3_r2,0.32278249911108936,3R,PC3,r2,test
16,RP_PC3_r2,0.27161659303094876,3R,PC3,r2,test
17,RP_PC3_r2,0.28065077784816206,3R,PC3,r2,test
0,RP_293T_spr,0.5417530088184859,ST_293T,293T,spr,test
1,RP_293T_spr,0.5529837602751045,ST_293T,293T,spr,test
2,RP_293T_spr,0.5147081868107874,ST_293T,293T,spr,test
3,RP_293T_r2,0.2872138464033608,ST_293T,293T,r2,test
4,RP_293T_r2,0.30099710144664904,ST_293T,293T,r2,test
5,RP_293T_r2,0.2700469385664005,ST_293T,293T,r2,test
0,RP_muscle_spr,0.6231328775607601,ST_muscle,muscle,spr,test
1,RP_muscle_spr,0.5670220004582682,ST_muscle,muscle,spr,test
2,RP_muscle_spr,0.6497262093822528,ST_muscle,muscle,spr,test
3,RP_muscle_r2,0.3958997975283155,ST_muscle,muscle,r2,test
4,RP_muscle_r2,0.28748798630042793,ST_muscle,muscle,r2,test
5,RP_muscle_r2,0.39068583346530505,ST_muscle,muscle,r2,test
0,RP_PC3_spr,0.5244815250563334,ST_PC3,PC3,spr,test
1,RP_PC3_spr,0.5177190075672722,ST_PC3,PC3,spr,test
2,RP_PC3_spr,0.5356071796821699,ST_PC3,PC3,spr,test
3,RP_PC3_r2,0.260883723486128,ST_PC3,PC3,r2,test
4,RP_PC3_r2,0.2727033358153239,ST_PC3,PC3,r2,test
5,RP_PC3_r2,0.2740557106549427,ST_PC3,PC3,r2,test
